district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Sri Potti Sriramulu Nellore,2022,14.44,79.99,54,13,618,44,249,357,17,3236
Tirupati,2022,13.63,79.42,60,19,377,385,220,206,17,3442
Alluri Sitharama Raju,2022,18.0,82.5,29,1,19,27,21,23,34,547
Anakapalli,2022,17.69,82.99,16,8,138,126,110,91,37,1463
Bapatla,2022,15.91,80.47,42,5,289,102,129,210,22,2031
Dr. B.R. Ambedkar Konaseema,2022,16.81,82.07,17,15,181,235,105,171,23,1984
Eluru,2022,16.71,81.09,32,7,498,161,183,424,28,3204
Kakinada,2022,16.94,82.24,34,5,316,349,106,171,16,2609
Nandyal,2022,15.48,78.48,44,18,173,121,88,617,8,2539
Palnadu,2022,16.15,79.63,40,5,194,234,108,185,9,2049
Parvathipuram Manyam,2022,18.78,83.43,6,2,41,16,35,18,21,414
Sri Sathya Sai,2022,14.17,77.53,51,13,188,117,121,90,7,1612
