district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Banka,2019,24.88,86.92,59,55,202,153,65,73,10,1769
Begusarai,2019,25.41,86.13,100,104,306,337,111,125,10,3172
Kaimur (Bhabua),2019,25.05,83.61,40,23,241,191,95,70,10,1822
Bhagalpur,2019,25.24,86.97,91,85,453,727,198,179,33,4999
Bhojpur,2019,25.56,84.4,90,49,313,555,135,85,8,3552
Buxar,2019,25.57,83.97,50,36,264,278,87,64,13,2210
Darbhanga,2019,26.15,85.89,71,31,258,476,142,112,33,3238
Gaya,2019,24.79,85.0,150,56,376,1168,158,601,49,7151
Gopalganj,2019,26.47,84.44,70,37,197,414,87,93,2,2591
Munger,2019,25.37,86.47,44,27,429,97,109,85,10,2024
Jamui,2019,24.92,86.22,68,37,153,87,49,135,9,1517
Jehanabad,2019,25.21,84.99,46,27,140,222,72,145,9,1835
Katihar,2019,25.54,87.58,89,49,365,257,73,24,60,2709
Khagaria,2019,25.5,86.47,54,38,130,170,30,27,13,1401
Kishanganj,2019,26.1,87.93,34,5,113,177,29,41,18,1206
Lakhisarai,2019,25.16,86.09,43,14,117,95,46,45,6,1048
Madhepura,2019,25.93,86.79,98,65,166,197,52,65,11,2014
Madhubani,2019,26.35,86.07,56,24,195,448,133,76,19,2756
Purbi Champaran,2019,26.65,84.92,110,102,420,1035,226,213,29,6152
Muzaffarpur,2019,26.12,85.39,162,302,1096,1856,246,330,34,11346
Nalanda,2019,25.08,85.45,113,92,340,565,158,235,37,4437
Nawada,2019,24.88,85.54,64,20,182,405,61,211,29,2729
Patna,2019,25.59,85.13,337,356,3145,4895,870,1503,70,30050
Rohtas,2019,24.96,83.88,86,92,407,782,180,120,5,4763
Saharsa,2019,25.88,86.6,40,18,216,261,28,104,14,1849
Samastipur,2019,25.86,85.78,89,47,265,456,66,118,14,3035
Saran,2019,25.92,84.75,95,106,397,1017,146,246,26,5804
Sheikhpura,2019,25.14,85.84,21,10,45,92,15,30,8,656
Sheohar,2019,26.52,85.3,11,12,31,39,2,13,3,329
Sitamarhi,2019,26.59,85.48,73,78,311,544,160,0,9,3456
Siwan,2019,26.22,84.35,111,52,212,757,153,98,8,4153
Supaul,2019,26.12,86.6,53,31,156,191,57,21,18,1577
Vaishali,2019,25.69,85.21,153,154,454,1199,223,0,0,6555
Purnia,2019,25.78,87.47,113,66,255,381,86,81,38,3092
Araria,2020,26.15,87.47,53,71,256,234,46,27,38,2145
Arwal,2020,25.25,84.68,21,15,70,53,36,0,2,582
Aurangabad,2020,24.75,84.37,67,24,207,211,51,78,11,1842
Pashchim Champaran,2020,27.06,84.43,109,32,268,925,122,113,24,4696
Banka,2020,24.88,86.92,77,38,174,127,47,50,21,1612
Begusarai,2020,25.41,86.13,108,83,228,375,95,89,26,3046
Kaimur (Bhabua),2020,25.05,83.61,46,22,218,111,89,40,13,1499
