district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Mandya,2019,12.31,76.53,45,51,157,258,174,117,7,2308
Raichur,2019,16.12,77.2,20,10,179,78,107,132,9,1362
Ramanagara,2019,12.43,77.17,49,73,198,172,78,102,9,1932
Shivamogga,2019,13.55,75.34,35,66,224,170,178,151,11,2288
Tumakuru,2019,13.2,77.06,56,61,314,196,140,166,14,2562
Udupi,2019,13.2,74.45,16,20,134,29,63,121,9,991
Uttara Kannada,2019,14.38,74.49,21,13,93,36,63,44,9,773
Yadgir,2019,16.45,77.08,14,5,121,25,36,29,5,598
Bengaluru Urban,2020,12.58,77.38,260,624,2332,4406,924,1775,122,28610
Bengaluru Rural,2020,13.2,77.5,48,160,810,456,92,21,13,4251
Mysuru,2020,12.18,76.39,68,101,224,381,222,228,27,3592
Hubballi-Dharwad,2020,15.3647,75.124,41,118,671,489,157,21,12,4059
Mangaluru,2020,12.9141,74.856,22,180,976,485,103,113,16,4852
Belagavi,2020,15.52,74.34,120,32,159,355,182,174,36,3185
Bagalkote,2020,16.12,75.45,36,7,98,73,52,60,10,949
Ballari,2020,15.09,76.55,52,16,263,149,120,118,29,2038
Bidar,2020,17.55,77.32,25,15,61,131,95,21,5,1052
Vijayapura,2020,16.5,75.42,77,8,98,146,61,35,2,1314
Chikkaballapura,2020,13.27,77.44,27,19,101,64,59,76,20,1034
Chamarajanagara,2020,11.55,76.56,25,11,34,43,39,16,15,590
Chikkamagaluru,2020,13.19,75.46,28,20,167,71,66,57,10,1129
Chitradurga,2020,14.13,76.24,26,18,113,96,78,61,13,1137
Dakshina Kannada,2020,12.52,75.05,29,39,202,107,130,143,21,1807
Davangere,2020,14.28,75.59,25,18,179,174,101,94,20,1668
Dharwad,2020,15.27,75.01,29,41,86,203,99,80,9,1592
Gadag,2020,15.24,75.38,14,7,42,27,39,14,5,433
Kalaburagi,2020,17.2,76.5,65,41,202,189,128,48,24,2060
Hassan,2020,13.0,76.06,61,21,87,120,92,88,19,1470
Haveri,2020,14.48,75.24,26,9,121,101,73,46,10,1072
Kodagu,2020,12.25,75.44,28,2,81,23,48,34,9,636
Kolar,2020,13.08,78.08,29,9,42,75,45,41,10,757
Koppal,2020,15.21,76.09,16,8,167,41,46,64,8,875
Mandya,2020,12.31,76.53,55,46,170,239,167,90,13,2262
Raichur,2020,16.12,77.2,39,6,142,81,39,89,12,1101
Ramanagara,2020,12.43,77.17,40,79,222,214,166,138,11,2431
Shivamogga,2020,13.55,75.34,41,42,141,171,141,105,8,1841
Tumakuru,2020,13.2,77.06,48,65,169,220,149,66,8,2117
Udupi,2020,13.2,74.45,9,27,43,24,42,106,11,704
Uttara Kannada,2020,14.38,74.49,10,15,50,27,95,19,5,639
Yadgir,2020,16.45,77.08,23,8,84,40,19,19,12,590
Bengaluru Urban,2021,12.58,77.38,224,660,3018,4872,866,2377,135,32439
Bengaluru Rural,2021,13.2,77.5,13,167,816,178,279,40,31,3971
Mysuru,2021,12.18,76.39,80,119,395,503,324,264,21,4780
Hubballi-Dharwad,2021,15.3647,75.124,24,71,639,216,148,61,6,2926
Mangaluru,2021,12.9141,74.856,24,144,259,439,91,122,31,3203
Belagavi,2021,15.52,74.34,128,60,233,484,285,190,40,4233
Bagalkote,2021,16.12,75.45,39,13,69,149,81,82,7,1274
Ballari,2021,15.09,76.55,40,21,265,283,131,133,13,2387
Bidar,2021,17.55,77.32,41,33,85,201,138,41,5,1631
Vijayapura,2021,16.5,75.42,76,10,136,190,103,40,15,1726
Chikkaballapura,2021,13.27,77.44,44,29,102,137,93,80,14,1460
Chamarajanagara,2021,11.55,76.56,22,6,57,39,47,23,6,582
Chikkamagaluru,2021,13.19,75.46,24,24,150,79,73,53,19,1173
Chitradurga,2021,14.13,76.24,24,32,109,123,98,68,17,1350
Dakshina Kannada,2021,12.52,75.05,21,46,172,93,109,125,28,1629
Davangere,2021,14.28,75.59,33,40,201,264,129,98,14,2172
Dharwad,2021,15.27,75.01,32,67,189,239,169,106,17,2327
Gadag,2021,15.24,75.38,11,6,33,53,35,25,5,484
Kalaburagi,2021,17.2,76.5,80,41,359,222,176,75,33,2791
Hassan,2021,13.0,76.06,52,58,143,221,88,107,18,2009
Haveri,2021,14.48,75.24,23,11,118,132,93,68,12,1266
Kodagu,2021,12.25,75.44,19,12,73,34,43,34,4,608
Kolar,2021,13.08,78.08,28,29,76,179,62,66,8,1303
Koppal,2021,15.21,76.09,14,11,135,79,59,35,12,928
Mandya,2021,12.31,76.53,54,47,180,268,137,105,11,2298
Raichur,2021,16.12,77.2,36,6,233,109,47,104,28,1486
Ramanagara,2021,12.43,77.17,55,51,189,243,106,166,9,2281
Shivamogga,2021,13.55,75.34,37,70,183,210,153,162,19,2339
Tumakuru,2021,13.2,77.06,70,91,180,298,183,137,16,2871
Udupi,2021,13.2,74.45,10,10,67,36,69,88,6,745
Uttara Kannada,2021,14.38,74.49,19,13,68,41,81,14,4,697
Yadgir,2021,16.45,77.08,21,2,107,34,35,32,19,693
Bengaluru Urban,2022,12.58,77.38,254,758,3935,5944,902,2841,172,39252
Bengaluru Rural,2022,13.2,77.5,36,79,497,496,96,84,16,3514
Mysuru,2022,12.18,76.39,88,132,335,622,260,239,37,4947
Hubballi-Dharwad,2022,15.3647,75.124,32,79,607,358,289,62,26,3885
Mangaluru,2022,12.9141,74.856,16,147,246,447,75,42,14,2880
Belagavi,2022,15.52,74.34,117,54,285,542,315,288,33,4683
Bagalkote,2022,16.12,75.45,41,14,118,181,90,76,12,1522
Ballari,2022,15.09,76.55,26,22,122,225,85,82,9,1601
Bidar,2022,17.55,77.32,54,52,128,203,159,43,11,1961
Vijayapura,2022,16.5,75.42,59,11,160,213,122,95,20,1954
Chikkaballapura,2022,13.27,77.44,29,30,144,199,88,93,9,1645
Chamarajanagara,2022,11.55,76.56,19,9,70,63,62,21,9,733
Chikkamagaluru,2022,13.19,75.46,14,19,144,72,95,68,6,1101
Chitradurga,2022,14.13,76.24,30,30,187,180,93,101,12,1725
Dakshina Kannada,2022,12.52,75.05,33,40,147,84,107,110,22,1522
Davangere,2022,14.28,75.59,29,54,227,405,144,7,17,2561
Dharwad,2022,15.27,75.01,43,46,219,232,160,150,13,2378
Gadag,2022,15.24,75.38,22,10,107,56,50,39,7,795
Kalaburagi,2022,17.2,76.5,82,41,269,386,195,115,19,3180
Hassan,2022,13.0,76.06,63,42,168,202,111,118,13,2059
Haveri,2022,14.48,75.24,16,19,156,182,132,72,13,1619
Kodagu,2022,12.25,75.44,19,8,105,21,45,27,8,629
Kolar,2022,13.08,78.08,28,24,154,184,72,96,12,1564
Koppal,2022,15.21,76.09,18,9,281,103,63,47,8,1320
Mandya,2022,12.31,76.53,57,53,180,278,145,67,10,2310
Raichur,2022,16.12,77.2,43,14,359,144,74,76,24,1915
Ramanagara,2022,12.43,77.17,44,45,270,284,146,164,14,2628
Shivamogga,2022,13.55,75.34,31,49,152,257,170,212,23,2475
Tumakuru,2022,13.2,77.06,79,78,254,397,256,201,19,3671
Udupi,2022,13.2,74.45,16,16,95,65,96,88,10,1043
Uttara Kannada,2022,14.38,74.49,15,18,109,63,79,82,11,1010
Yadgir,2022,16.45,77.08,21,2,95,43,43,27,15,690
