district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Wanaparthy,2019,16.36,78.06,15,4,141,14,31,85,8,718
Mulugu,2019,18.19,80.06,9,6,18,6,10,15,2,193
Narayanpet,2019,16.74,77.5,10,1,30,15,22,28,10,331
Jagitial,2019,18.79,78.92,16,7,132,38,96,265,7,1339
Hyderabad,2020,17.38,78.47,165,174,2287,1728,836,3136,199,21054
Karimnagar,2020,18.43,79.12,18,4,81,72,57,287,21,1334
Khammam,2020,17.25,80.15,30,13,105,104,109,235,24,1641
Nizamabad,2020,18.67,78.09,42,8,203,204,173,291,13,2426
Yadadri Bhuvanagiri,2020,17.56,79.42,68,58,790,492,534,1699,155,9403
Peddapalli,2020,18.61,79.38,30,2,207,66,110,486,31,2227
Siddipet,2020,18.1,78.85,20,7,259,133,182,155,15,1976
Warangal,2020,17.98,79.6,35,7,140,110,137,526,32,2436
Adilabad,2020,19.67,78.53,11,3,33,56,31,65,8,564
Bhadradri Kothagudem,2020,17.55,80.62,23,6,95,55,123,109,30,1231
Jayashankar Bhupalapally,2020,18.45,79.9,11,1,32,10,23,127,5,501
Jogulamba Gadwal,2020,16.23,77.81,8,2,176,37,27,131,5,879
Kamareddy,2020,18.32,78.34,30,9,116,112,151,45,14,1367
Kumuram Bheem Asifabad,2020,19.37,79.28,20,1,81,8,27,157,13,750
Mahabubabad,2020,17.6,80.01,17,3,52,35,57,129,12,795
Mahabubnagar,2020,16.74,77.98,18,4,82,42,57,83,17,818
Medak,2020,18.04,78.26,27,2,77,65,71,57,7,854
Nagarkurnool,2020,16.48,78.33,26,0,64,28,43,74,16,699
Nalgonda,2020,17.05,79.27,28,12,103,40,83,273,14,1379
Nirmal,2020,19.09,78.35,20,0,36,64,42,37,9,609
Rajanna Sircilla,2020,18.38,78.83,14,2,37,27,40,143,19,734
Sangareddy,2020,17.62,78.09,40,12,166,170,166,47,16,1762
Suryapet,2020,17.14,79.62,26,2,82,55,48,261,27,1268
Vikarabad,2020,17.34,77.9,25,1,86,34,74,44,11,768
Wanaparthy,2020,16.36,78.06,12,1,134,16,31,64,10,651
Mulugu,2020,18.19,80.06,7,0,34,7,20,35,8,294
Narayanpet,2020,16.74,77.5,6,1,24,23,10,72,9,370
Jagitial,2020,18.79,78.92,25,14,73,27,45,247,24,1157
Hyderabad,2021,17.38,78.47,235,229,3387,3388,1122,3924,239,31438
Karimnagar,2021,18.43,79.12,12,4,69,48,76,361,24,1428
Khammam,2021,17.25,80.15,21,11,150,136,210,204,29,2040
Nizamabad,2021,18.67,78.09,50,4,172,307,161,262,7,2573
Yadadri Bhuvanagiri,2021,17.56,79.42,88,90,1227,719,664,2851,156,13885
Peddapalli,2021,18.61,79.38,32,6,238,132,147,608,41,2918
Siddipet,2021,18.1,78.85,18,6,379,193,153,231,15,2447
Warangal,2021,17.98,79.6,53,28,221,247,156,741,45,3735
Adilabad,2021,19.67,78.53,14,4,29,44,46,87,10,638
Bhadradri Kothagudem,2021,17.55,80.62,18,7,136,73,132,148,29,1446
Jayashankar Bhupalapally,2021,18.45,79.9,14,3,25,7,18,87,2,391
Jogulamba Gadwal,2021,16.23,77.81,20,3,241,38,43,210,5,1282
Kamareddy,2021,18.32,78.34,42,12,209,103,170,121,25,1862
Kumuram Bheem Asifabad,2021,19.37,79.28,18,0,54,11,23,265,8,870
Mahabubabad,2021,17.6,80.01,21,1,42,23,48,171,6,778
Mahabubnagar,2021,16.74,77.98,28,0,156,27,90,148,9,1144
Medak,2021,18.04,78.26,36,2,144,57,110,133,3,1258
Nagarkurnool,2021,16.48,78.33,25,2,65,42,44,120,7,796
Nalgonda,2021,17.05,79.27,54,9,165,25,94,402,22,1907
Nirmal,2021,19.09,78.35,15,1,42,50,69,71,7,697
Rajanna Sircilla,2021,18.38,78.83,14,12,41,45,43,180,10,874
Sangareddy,2021,17.62,78.09,75,5,228,112,175,98,20,2008
Suryapet,2021,17.14,79.62,30,5,143,101,61,348,36,1818
Vikarabad,2021,17.34,77.9,35,7,103,25,84,102,12,1000
Wanaparthy,2021,16.36,78.06,9,0,138,17,28,82,8,660
Mulugu,2021,18.19,80.06,6,1,24,4,14,51,10,288
Narayanpet,2021,16.74,77.5,14,1,37,12,19,96,14,503
Jagitial,2021,18.79,78.92,29,11,106,60,97,324,24,1640
Hyderabad,2022,17.38,78.47,186,226,3703,2998,809,9194,228,40189
Karimnagar,2022,18.43,79.12,24,4,110,46,63,533,10,1799
Khammam,2022,17.25,80.15,25,9,209,176,149,341,18,2326
Nizamabad,2022,18.67,78.09,58,15,358,429,229,507,17,4139
Yadadri Bhuvanagiri,2022,17.56,79.42,64,130,1202,1044,663,4062,172,17349
Peddapalli,2022,18.61,79.38,56,5,258,100,154,445,11,2523
Siddipet,2022,18.1,78.85,23,6,293,131,172,222,23,2193
Warangal,2022,17.98,79.6,41,16,326,232,169,1500,50,5374
Adilabad,2022,19.67,78.53,12,3,59,79,34,133,17,880
Bhadradri Kothagudem,2022,17.55,80.62,25,9,245,90,131,293,24,2020
Jayashankar Bhupalapally,2022,18.45,79.9,13,1,46,1,21,129,5,510
Jogulamba Gadwal,2022,16.23,77.81,20,3,192,35,34,132,6,997
Kamareddy,2022,18.32,78.34,40,13,308,133,171,309,9,2443
Kumuram Bheem Asifabad,2022,19.37,79.28,14,2,51,23,51,298,17,1083
Mahabubabad,2022,17.6,80.01,28,2,87,25,69,267,23,1253
Mahabubnagar,2022,16.74,77.98,21,6,120,103,88,201,11,1399
Medak,2022,18.04,78.26,32,12,150,110,128,196,5,1639
Nagarkurnool,2022,16.48,78.33,26,4,84,63,81,172,14,1160
Nalgonda,2022,17.05,79.27,35,1,240,87,135,452,31,2384
Nirmal,2022,19.09,78.35,15,3,56,62,67,93,8,812
Rajanna Sircilla,2022,18.38,78.83,17,8,60,30,57,256,21,1115
Sangareddy,2022,17.62,78.09,45,9,287,221,167,73,24,2265
Suryapet,2022,17.14,79.62,27,0,200,105,84,500,23,2217
Vikarabad,2022,17.34,77.9,30,2,111,47,72,57,18,941
Wanaparthy,2022,16.36,78.06,13,1,120,18,37,118,7,745
Mulugu,2022,18.19,80.06,7,1,90,15,24,59,7,489
Narayanpet,2022,16.74,77.5,10,4,49,9,43,95,6,540
Jagitial,2022,18.79,78.92,30,26,46,201,59,272,9,1715
