district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Jodhpur,2019,26.29,73.02,71,116,936,1723,380,499,231,11153
Ganganagar,2019,29.92,73.88,67,34,220,268,177,658,248,4802
Hanumangarh,2019,29.58,74.33,53,14,162,169,129,0,196,2519
Jaipur,2019,26.91,75.79,154,223,4176,8974,1083,4070,664,51645
Jaisalmer,2019,26.92,70.91,12,17,126,92,74,133,48,1384
Jalore,2019,25.35,72.62,33,27,148,238,141,0,84,2126
Jhalawar,2019,24.6,76.17,46,45,280,379,136,232,164,3799
Jhunjhunu,2019,28.13,75.4,61,24,369,282,51,531,152,3960
Karauli,2019,26.5,77.02,40,10,225,407,29,386,101,3275
Kota,2019,25.18,75.84,44,48,628,1286,134,893,197,8699
Nagaur,2019,27.2,73.73,67,23,266,311,214,452,170,4288
Pali,2019,25.77,73.33,49,59,235,462,295,750,143,5437
Pratapgarh,2019,24.03,74.78,29,9,82,87,72,178,175,2053
Rajsamand,2019,25.07,73.88,35,21,188,329,147,231,70,2875
Sawai Madhopur,2019,26.0,76.35,28,16,254,595,97,213,115,3789
Sikar,2019,27.61,75.14,64,48,601,643,142,1116,164,7121
Sirohi,2019,24.88,72.86,33,22,57,206,75,268,86,2176
Tonk,2019,26.17,75.79,21,24,195,354,164,356,120,3457
Udaipur,2019,24.57,73.69,80,98,338,783,273,584,220,6904
Khairthal-Tijara,2019,27.82,76.62,61,81,485,1091,117,0,146,5953
Ajmer,2020,26.45,74.64,48,63,685,565,304,901,210,7321
Alwar,2020,27.56,76.61,79,33,428,1057,135,577,216,7193
Banswara,2020,23.55,74.44,49,60,81,106,122,71,93,1938
Baran,2020,25.1,76.52,35,7,196,275,88,0,121,2289
Barmer,2020,25.75,71.39,48,31,167,483,203,173,227,4237
Bharatpur,2020,27.22,77.49,101,41,468,952,83,692,260,7394
Bhilwara,2020,25.35,74.64,35,54,206,565,100,613,173,4889
Bikaner,2020,28.02,73.31,64,17,150,252,116,254,166,3130
Bundi,2020,25.44,75.63,24,11,99,166,96,0,103,1663
Chittorgarh,2020,24.89,74.63,34,56,205,547,94,332,124,4011
Churu,2020,28.3,74.97,37,15,162,133,142,0,140,2094
Dausa,2020,26.89,76.33,39,15,320,472,67,527,114,4136
Dholpur,2020,26.7,77.89,50,33,161,298,50,180,96,2588
Dungarpur,2020,23.84,73.72,30,37,56,68,28,82,97,1347
Jodhpur,2020,26.29,73.02,77,64,612,1310,354,327,218,8601
Ganganagar,2020,29.92,73.88,73,42,165,204,161,390,200,3738
Hanumangarh,2020,29.58,74.33,52,11,123,219,135,0,172,2472
Jaipur,2020,26.91,75.79,136,107,1923,5422,645,2327,532,30469
Jaisalmer,2020,26.92,70.91,19,6,92,83,61,108,27,1086
Jalore,2020,25.35,72.62,44,28,123,273,174,0,78,2309
Jhalawar,2020,24.6,76.17,43,22,190,394,95,177,158,3294
Jhunjhunu,2020,28.13,75.4,53,15,255,178,118,486,102,3205
Karauli,2020,26.5,77.02,47,18,142,442,47,263,116,3164
Kota,2020,25.18,75.84,42,40,391,1049,131,646,209,7029
Nagaur,2020,27.2,73.73,48,14,220,361,207,309,149,3803
Pali,2020,25.77,73.33,50,60,160,340,219,537,137,4246
Pratapgarh,2020,24.03,74.78,30,14,67,87,42,134,133,1660
Rajsamand,2020,25.07,73.88,24,24,129,237,112,185,73,2256
Sawai Madhopur,2020,26.0,76.35,30,12,180,347,51,132,113,2581
Sikar,2020,27.61,75.14,58,26,497,431,109,699,129,5051
Sirohi,2020,24.88,72.86,44,20,85,185,92,233,96,2247
Tonk,2020,26.17,75.79,30,19,197,287,150,325,104,3101
Udaipur,2020,24.57,73.69,86,92,282,513,229,399,228,5526
Khairthal-Tijara,2020,27.82,76.62,60,48,415,762,124,149,196,5258
Ajmer,2021,26.45,74.64,57,56,1053,939,273,1020,231,9446
Alwar,2021,27.56,76.61,84,48,590,1245,180,691,288,8889
Banswara,2021,23.55,74.44,42,48,103,179,130,116,136,2447
Baran,2021,25.1,76.52,37,16,182,296,93,0,130,2430
Barmer,2021,25.75,71.39,46,22,184,424,229,191,236,4207
Bharatpur,2021,27.22,77.49,99,76,572,1013,124,771,303,8411
Bhilwara,2021,25.35,74.64,42,104,276,603,154,809,230,6217
Bikaner,2021,28.02,73.31,47,26,205,259,115,316,177,3388
Bundi,2021,25.44,75.63,25,12,125,222,130,0,116,2059
Chittorgarh,2021,24.89,74.63,30,50,250,612,136,315,115,4299
Churu,2021,28.3,74.97,44,13,212,173,116,0,163,2378
Dausa,2021,26.89,76.33,41,29,435,460,122,563,141,4768
Dholpur,2021,26.7,77.89,48,15,236,324,63,239,103,2926
Dungarpur,2021,23.84,73.72,38,36,50,79,33,131,101,1537
Jodhpur,2021,26.29,73.02,82,92,855,1695,425,424,276,11076
Ganganagar,2021,29.92,73.88,67,45,214,298,211,397,193,4229
Hanumangarh,2021,29.58,74.33,61,11,118,211,172,0,198,2724
Jaipur,2021,26.91,75.79,169,186,2699,6327,785,2988,661,37604
Jaisalmer,2021,26.92,70.91,14,11,127,70,64,105,20,1080
Jalore,2021,25.35,72.62,38,23,115,246,212,0,93,2351
Jhalawar,2021,24.6,76.17,47,15,225,380,68,157,162,3213
Jhunjhunu,2021,28.13,75.4,53,28,397,210,145,699,135,4309
Karauli,2021,26.5,77.02,52,30,267,391,69,360,138,3704
Kota,2021,25.18,75.84,56,33,469,991,136,966,266,7993
Nagaur,2021,27.2,73.73,53,32,314,522,198,481,183,5058
Pali,2021,25.77,73.33,43,72,201,456,178,626,174,4929
Pratapgarh,2021,24.03,74.78,35,19,76,120,88,103,215,2308
Rajsamand,2021,25.07,73.88,28,54,142,293,159,257,101,3015
Sawai Madhopur,2021,26.0,76.35,39,27,182,447,68,152,117,3101
Sikar,2021,27.61,75.14,53,26,731,450,99,626,197,5715
Sirohi,2021,24.88,72.86,41,21,121,254,126,224,113,2684
Tonk,2021,26.17,75.79,26,12,189,314,146,312,90,3010
Udaipur,2021,24.57,73.69,93,138,306,718,261,677,326,7550
Khairthal-Tijara,2021,27.82,76.62,56,59,477,954,153,195,209,6226
Ajmer,2022,26.45,74.64,62,128,1647,1062,321,1367,208,12039
Alwar,2022,27.56,76.61,73,36,857,1315,217,836,253,9756
Banswara,2022,23.55,74.44,47,56,89,233,122,101,148,2644
Baran,2022,25.1,76.52,43,16,168,278,107,0,73,2135
Barmer,2022,25.75,71.39,44,25,251,413,288,285,172,4355
Bharatpur,2022,27.22,77.49,88,106,784,1030,163,878,288,9207
Bhilwara,2022,25.35,74.64,39,74,316,724,171,926,301,7165
Bikaner,2022,28.02,73.31,59,12,285,334,174,370,123,3792
Bundi,2022,25.44,75.63,23,7,130,216,92,0,86,1757
Chittorgarh,2022,24.89,74.63,40,49,266,543,97,450,105,4273
Churu,2022,28.3,74.97,35,13,202,156,147,0,111,2095
Dausa,2022,26.89,76.33,46,23,431,529,105,629,146,5074
Dholpur,2022,26.7,77.89,48,21,302,388,25,263,110,3243
Dungarpur,2022,23.84,73.72,44,34,51,79,68,140,59,1474
Jodhpur,2022,26.29,73.02,66,103,1019,1718,501,529,213,11560
Ganganagar,2022,29.92,73.88,67,47,278,387,258,541,173,4961
Hanumangarh,2022,29.58,74.33,58,14,174,250,177,0,130,2625
Jaipur,2022,26.91,75.79,188,232,3080,7554,905,4123,619,44746
Jaisalmer,2022,26.92,70.91,17,7,170,83,78,79,29,1239
Jalore,2022,25.35,72.62,44,24,133,226,194,0,76,2222
Jhalawar,2022,24.6,76.17,32,24,242,430,75,139,123,3148
Jhunjhunu,2022,28.13,75.4,37,9,360,254,135,640,88,3828
Karauli,2022,26.5,77.02,43,31,285,345,65,367,111,3428
Kota,2022,25.18,75.84,51,36,570,1149,128,1050,228,8610
Nagaur,2022,27.2,73.73,58,28,420,652,201,626,158,5843
Pali,2022,25.77,73.33,55,92,209,473,225,761,145,5402
Pratapgarh,2022,24.03,74.78,40,21,93,152,68,171,171,2327
Rajsamand,2022,25.07,73.88,37,27,156,265,154,313,70,2838
Sawai Madhopur,2022,26.0,76.35,35,35,227,501,97,310,104,3703
Sikar,2022,27.61,75.14,61,30,807,590,189,740,135,6531
Sirohi,2022,24.88,72.86,44,33,127,261,115,254,89,2687
Tonk,2022,26.17,75.79,38,22,241,308,182,385,102,3510
Udaipur,2022,24.57,73.69,114,167,410,922,326,877,283,8971
Khairthal-Tijara,2022,27.82,76.62,58,40,694,1070,162,188,169,6755
