district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Jamnagar,2019,22.47,70.06,18,8,76,108,44,22,6,804
Junagadh,2019,21.52,70.46,25,24,127,146,122,54,25,1512
Kachchh,2019,23.73,70.2,39,33,194,246,143,77,21,2141
Kheda,2019,22.98,72.68,27,14,48,77,42,18,11,735
Mahisagar,2019,23.11,73.47,12,1,15,16,18,5,10,256
Mahesana,2019,23.59,72.37,31,40,137,161,79,50,10,1459
Morbi,2019,22.81,70.84,33,9,39,55,32,14,4,588
Narmada,2019,21.87,73.75,13,2,21,26,8,7,5,256
Navsari,2019,20.95,72.93,10,2,70,47,50,27,5,568
Panch Mahals,2019,22.76,73.6,31,8,50,131,53,12,6,893
Patan,2019,23.85,72.13,14,7,81,112,53,10,14,845
Porbandar,2019,21.64,69.61,16,6,32,24,28,6,3,351
Rajkot,2019,22.3,70.78,60,37,158,365,126,81,33,2564
Sabar Kantha,2019,23.59,73.0,18,10,50,157,52,30,20,1017
Surat,2019,21.17,72.83,130,195,1946,1574,475,800,52,13329
Surendranagar,2019,22.73,71.65,31,14,68,67,69,22,6,829
Tapi,2019,21.19,73.41,15,5,15,31,12,2,4,278
Vadodara,2019,22.31,73.18,47,61,1248,632,302,258,32,6453
Valsad,2019,20.6,72.93,28,8,86,99,90,29,10,1019
Ahmadabad,2020,23.03,72.58,95,139,1122,1505,459,524,83,10630
Amreli,2020,21.6,71.22,17,12,30,37,26,19,13,485
Anand,2020,22.56,72.95,27,14,91,93,71,33,14,1001
Arvalli,2020,23.58,73.0,21,2,43,63,40,2,6,542
Banas Kantha,2020,24.17,72.43,37,22,92,198,104,39,29,1586
Bharuch,2020,21.7,72.99,35,14,109,217,106,91,8,1640
Bhavnagar,2020,21.76,72.15,42,13,84,104,81,50,16,1165
Botad,2020,22.18,71.67,10,3,15,30,9,8,6,255
Chhotaudepur,2020,22.3,74.01,21,2,19,109,8,4,13,575
Gandhinagar,2020,23.22,72.65,22,10,120,149,90,142,5,1416
Dohad,2020,22.84,74.26,37,13,25,150,44,16,19,996
Dang,2020,20.76,73.7,5,0,5,7,2,5,2,82
Devbhumi Dwarka,2020,22.24,68.97,9,1,28,18,31,8,1,273
Gir Somnath,2020,20.9,70.37,15,4,23,25,27,9,13,376
Jamnagar,2020,22.47,70.06,20,11,49,74,39,10,12,661
Junagadh,2020,21.52,70.46,20,18,89,100,94,48,10,1078
Kachchh,2020,23.73,70.2,48,32,164,227,159,109,32,2232
Kheda,2020,22.98,72.68,21,13,40,54,30,31,6,581
Mahisagar,2020,23.11,73.47,7,2,14,8,7,10,1,141
