district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Budgam,2021,33.93,74.75,4,14,69,36,67,22,17,652
Jammu,2021,32.73,74.87,18,2,184,335,202,22,53,2386
Srinagar,2021,34.08,74.8,23,38,103,275,169,2,17,1894
Doda,2021,33.15,75.55,6,0,17,3,19,7,10,194
Ganderbal,2021,34.23,74.79,2,0,43,17,20,17,1,246
Kupwara,2021,34.53,74.26,3,1,138,11,59,25,18,645
Kathua,2021,32.38,75.52,6,0,52,41,45,0,9,437
Kishtwar,2021,33.31,75.77,4,0,9,0,15,10,4,123
Kulgam,2021,33.64,75.02,5,15,60,37,50,18,23,617
Poonch,2021,33.77,74.09,8,1,24,15,35,10,23,377
Reasi,2021,33.08,74.83,7,0,41,18,16,9,12,297
Rajouri,2021,33.38,74.31,13,0,35,31,65,22,32,627
Ramban,2021,33.24,75.24,1,0,18,11,23,3,11,204
Samba,2021,32.56,75.12,2,0,44,62,45,12,12,503
Shopian,2021,33.72,74.83,1,7,89,23,25,9,5,398
Udhampur,2021,32.92,75.14,9,1,48,39,41,7,16,479
Anantnag,2022,33.73,75.15,5,5,88,46,82,43,19,786
Pulwama,2022,33.87,74.9,6,5,76,31,57,24,6,544
Bandipora,2022,34.42,74.65,2,0,57,5,22,16,5,262
Baramulla,2022,34.21,74.36,9,7,152,52,111,38,12,1002
Budgam,2022,33.93,74.75,4,17,52,55,39,25,14,594
Doda,2022,33.15,75.55,1,0,20,4,8,13,12,167
Ganderbal,2022,34.23,74.79,1,3,85,6,40,19,9,408
Kupwara,2022,34.53,74.26,2,4,118,9,52,25,9,540
Jammu,2022,32.73,74.87,9,2,227,387,237,68,57,2800
Kathua,2022,32.38,75.52,7,2,43,48,47,0,15,489
Kishtwar,2022,33.31,75.77,0,0,5,0,7,8,4,67
Kulgam,2022,33.64,75.02,0,5,66,22,46,20,10,446
Poonch,2022,33.77,74.09,4,0,47,18,36,11,22,408
Reasi,2022,33.08,74.83,8,0,35,11,24,27,18,359
Rajouri,2022,33.38,74.31,10,0,32,36,67,26,34,645
Ramban,2022,33.24,75.24,2,0,41,18,19,8,4,239
Samba,2022,32.56,75.12,0,0,41,72,69,0,13,570
Shopian,2022,33.72,74.83,4,8,100,18,30,10,1,421
Srinagar,2022,34.08,74.8,13,26,120,270,220,20,12,1979
Udhampur,2022,32.92,75.14,12,0,41,44,51,33,11,548
