district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Upper Subansiri,2020,27.94,93.55,2,0,6,1,10,1,4,77
Tawang,2020,27.58,91.87,0,0,1,0,0,2,0,6
Tirap,2020,27.03,95.52,1,1,6,0,5,0,1,41
Namsai,2020,27.67,95.84,3,3,13,3,8,2,0,90
Siang,2020,28.62,94.99,0,1,7,0,0,1,0,20
Kamle,2020,27.5,93.52,1,0,1,0,0,0,1,12
Kra Daadi,2020,28.15,94.4,3,0,0,0,0,0,0,15
Lower Siang,2020,27.65,94.79,0,0,2,2,0,4,0,18
Leparada,2020,28.25,95.0,0,0,3,1,0,2,2,23
Shi Yomi,2020,28.39,94.23,0,0,1,0,0,1,0,4
Pakke Kessang,2020,27.2,92.62,0,0,2,0,2,1,1,17
Anjaw,2021,28.05,97.07,0,0,7,0,0,1,1,21
Changlang,2021,27.12,95.96,6,2,19,4,5,3,5,134
Papum Pare,2021,27.28,93.74,11,29,245,251,47,39,36,1813
Dibang Valley,2021,28.62,95.7,0,0,2,0,0,0,0,4
East Kameng,2021,27.07,92.99,0,3,5,5,2,7,4,77
West Kameng,2021,27.25,92.35,4,1,17,15,9,14,1,163
Kurung Kumey,2021,27.86,93.25,2,0,3,0,2,4,2,40
Lohit,2021,27.96,96.2,1,0,10,3,11,5,3,92
Longding,2021,27.15,95.56,3,3,5,2,8,0,3,82
Lower Dibang Valley,2021,28.2,95.52,2,3,12,3,7,1,6,108
East Siang,2021,28.09,94.91,1,4,25,7,5,12,7,166
Upper Siang,2021,28.5,95.27,2,0,7,1,8,1,1,58
West Siang,2021,28.08,94.3,2,0,7,0,1,4,3,50
Lower Subansiri,2021,27.52,93.77,0,0,4,2,5,0,1,34
Upper Subansiri,2021,27.94,93.55,1,0,15,0,5,4,2,68
Tawang,2021,27.58,91.87,2,0,1,0,2,2,1,27
Tirap,2021,27.03,95.52,1,1,5,6,6,2,0,59
Namsai,2021,27.67,95.84,5,2,8,4,18,0,3,130
Siang,2021,28.62,94.99,3,0,7,1,1,2,1,44
Kamle,2021,27.5,93.52,0,1,3,0,0,1,2,22
Kra Daadi,2021,28.15,94.4,0,1,1,1,0,0,0,9
Lower Siang,2021,27.65,94.79,3,0,14,6,1,2,1,73
Leparada,2021,28.25,95.0,0,0,4,2,1,2,0,21
Shi Yomi,2021,28.39,94.23,0,0,0,0,0,1,0,2
Pakke Kessang,2021,27.2,92.62,0,0,6,0,1,0,0,15
Anjaw,2022,28.05,97.07,1,0,7,0,3,2,0,32
Changlang,2022,27.12,95.96,8,0,23,5,5,4,5,149
Papum Pare,2022,27.28,93.74,10,29,174,226,57,25,20,1513
Dibang Valley,2022,28.62,95.7,0,0,2,0,2,1,0,12
East Kameng,2022,27.07,92.99,4,0,14,1,1,8,6,100
West Kameng,2022,27.25,92.35,1,1,21,7,4,9,2,112
Kurung Kumey,2022,27.86,93.25,2,0,7,0,1,2,0,31
Lohit,2022,27.96,96.2,2,3,7,6,13,1,2,105
Longding,2022,27.15,95.56,2,2,4,0,4,3,1,49
Lower Dibang Valley,2022,28.2,95.52,0,0,12,7,1,1,7,85
East Siang,2022,28.09,94.91,4,6,43,12,0,11,6,218
Upper Siang,2022,28.5,95.27,1,1,12,0,6,3,0,57
West Siang,2022,28.08,94.3,2,1,13,5,1,4,8,106
Lower Subansiri,2022,27.52,93.77,1,2,4,0,4,5,3,58
Upper Subansiri,2022,27.94,93.55,3,1,5,1,0,2,0,36
Tawang,2022,27.58,91.87,0,0,1,0,1,11,2,37
Tirap,2022,27.03,95.52,1,4,6,0,2,2,1,48
Namsai,2022,27.67,95.84,9,1,17,18,18,0,1,196
Siang,2022,28.62,94.99,1,0,10,3,0,1,3,51
Kamle,2022,27.5,93.52,1,0,4,0,1,0,1,21
Kra Daadi,2022,28.15,94.4,1,0,1,1,1,0,1,18
Lower Siang,2022,27.65,94.79,2,0,5,1,3,2,3,51
Leparada,2022,28.25,95.0,0,1,7,1,0,6,1,38
Shi Yomi,2022,28.39,94.23,0,0,2,0,0,1,1,11
Pakke Kessang,2022,27.2,92.62,0,0,6,0,0,0,0,12
