district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Morena,2018,26.5,77.99,44,50,181,387,245,75,95,3303
Narsimhapur,2018,22.95,79.2,34,9,62,96,138,11,91,1509
Neemuch,2018,24.47,74.87,8,10,41,104,46,21,33,819
Panna,2018,24.72,80.18,18,6,26,32,72,0,35,653
Raisen,2018,23.33,77.79,35,12,8,157,81,35,163,1838
Rajgarh,2018,23.85,76.73,14,15,114,226,109,19,68,1741
Ratlam,2018,23.33,75.04,28,29,151,205,138,40,179,2562
Rewa,2018,24.53,81.3,55,61,250,469,458,28,157,4641
Sagar,2018,23.84,78.74,75,19,202,252,214,65,176,3263
Satna,2018,24.6,80.83,71,22,196,319,258,0,143,3281
Seoni,2018,22.09,79.54,40,6,72,86,101,11,60,1251
Shahdol,2018,23.29,81.35,35,13,120,71,194,27,121,1921
Shajapur,2018,23.43,76.28,10,7,57,106,66,10,74,1098
Sheopur,2018,25.67,76.7,6,5,37,25,20,10,28,419
Shivpuri,2018,25.43,77.66,35,18,114,178,134,35,105,2006
Sidhi,2018,24.41,81.88,25,17,195,37,146,9,21,1255
Sehore,2018,23.2,77.08,34,12,244,270,148,31,130,2672
Singrauli,2018,24.2,82.66,40,16,95,43,79,9,68,1178
Tikamgarh,2018,24.74,78.83,30,18,97,84,120,43,116,1694
Ujjain,2018,23.18,75.77,51,51,399,693,308,77,109,4959
Umaria,2018,23.52,80.84,18,1,37,20,45,16,30,545
Vidisha,2018,23.52,77.82,40,9,164,314,204,13,61,2449
Agar-Malwa,2019,23.71,76.01,11,10,51,67,41,10,12,601
Alirajpur,2019,22.31,74.36,49,17,53,140,44,6,37,1168
Anuppur,2019,23.16,81.69,34,13,85,47,88,10,31,972
Ashoknagar,2019,24.57,77.72,21,7,102,115,116,16,34,1232
Balaghat,2019,21.81,80.19,40,12,138,116,129,38,81,1740
Barwani,2019,22.05,74.9,38,6,47,166,85,0,25,1186
Betul,2019,21.9,77.9,38,9,98,93,109,26,65,1405
Bhind,2019,26.56,78.79,47,22,112,234,206,50,35,2142
Bhopal,2019,23.26,77.41,65,124,3763,2143,809,155,181,18418
Burhanpur,2019,21.3,76.23,19,3,29,54,31,5,10,480
Chhatarpur,2019,24.92,79.59,43,30,130,188,236,16,47,2134
Chhindwara,2019,22.06,78.94,60,8,123,183,161,25,64,1980
Damoh,2019,23.84,79.44,35,5,52,89,116,0,21,1019
Datia,2019,25.66,78.46,20,16,64,66,84,12,33,931
Dewas,2019,22.96,76.05,28,21,219,361,112,0,51,2336
Dhar,2019,22.6,75.3,55,54,209,632,194,0,94,3857
Dindori,2019,22.94,81.08,22,3,29,23,52,10,40,625
Guna,2019,24.65,77.32,37,28,119,407,217,34,39,2670
Gwalior,2019,26.22,78.18,63,117,563,1163,591,224,131,8274
Harda,2019,22.34,77.1,14,3,86,63,49,24,24,758
Narmadapuram,2019,22.74,77.73,36,15,192,189,115,23,46,1812
Indore,2019,22.72,75.86,82,78,1258,3420,516,135,175,16191
Jabalpur,2019,23.17,79.95,74,81,1617,527,374,55,145,7466
Jhabua,2019,22.77,74.6,25,29,46,152,51,7,27,1091
Katni,2019,23.83,80.4,21,9,103,95,163,22,24,1285
Khandwa (East Nimar),2019,21.82,76.35,25,19,115,135,128,0,27,1355
Khargone (West Nimar),2019,21.82,75.62,39,17,198,281,177,12,37,2242
Mandla,2019,22.6,80.38,29,7,28,24,73,7,18,624
Mandsaur,2019,24.07,75.07,16,17,217,226,97,17,13,1650
Morena,2019,26.5,77.99,45,41,175,378,196,83,57,2912
Narsimhapur,2019,22.95,79.2,31,4,48,77,100,22,20,942
Neemuch,2019,24.47,74.87,8,11,71,98,72,18,14,842
Panna,2019,24.72,80.18,24,2,43,45,88,0,17,698
Raisen,2019,23.33,77.79,33,10,134,188,58,21,67,1588
Rajgarh,2019,23.85,76.73,18,26,117,275,114,18,21,1736
Ratlam,2019,23.33,75.04,25,18,235,213,130,58,81,2217
Rewa,2019,24.53,81.3,51,127,570,593,638,38,63,5987
Sagar,2019,23.84,78.74,79,26,156,268,224,45,68,2717
Satna,2019,24.6,80.83,42,44,204,312,229,37,39,2686
Seoni,2019,22.09,79.54,18,5,83,55,96,15,33,924
Shahdol,2019,23.29,81.35,41,23,151,108,239,32,38,1894
Shajapur,2019,23.43,76.28,13,10,141,110,75,15,20,1072
Sheopur,2019,25.67,76.7,8,7,32,52,30,12,13,467
Shivpuri,2019,25.43,77.66,54,26,109,166,168,59,56,1992
Sidhi,2019,24.41,81.88,26,17,132,70,146,20,22,1260
Sehore,2019,23.2,77.08,17,26,186,304,186,8,35,2222
Singrauli,2019,24.2,82.66,44,11,107,71,93,9,55,1263
Tikamgarh,2019,24.74,78.83,21,4,40,86,85,18,30,900
Ujjain,2019,23.18,75.77,45,52,400,840,272,62,64,5013
Umaria,2019,23.52,80.84,20,5,38,26,49,4,11,484
Vidisha,2019,23.52,77.82,31,12,157,316,218,15,71,2504
Niwari,2019,25.08,79.05,15,3,24,21,14,16,23,387
Agar-Malwa,2020,23.71,76.01,7,3,45,89,43,12,3,572
Alirajpur,2020,22.31,74.36,40,5,23,95,19,9,29,771
Anuppur,2020,23.16,81.69,30,10,108,55,81,7,46,1058
Ashoknagar,2020,24.57,77.72,34,14,90,126,128,26,30,1370
Balaghat,2020,21.81,80.19,53,12,185,91,150,25,69,1801
Barwani,2020,22.05,74.9,36,9,134,109,85,34,35,1309
Betul,2020,21.9,77.9,49,3,144,92,95,12,48,1370
Bhind,2020,26.56,78.79,38,30,196,241,212,60,21,2286
Bhopal,2020,23.26,77.41,68,64,1346,1159,579,118,124,9358
Burhanpur,2020,21.3,76.23,15,7,79,49,34,1,16,592
Chhatarpur,2020,24.92,79.59,67,20,193,128,190,30,52,2075
Chhindwara,2020,22.06,78.94,69,11,179,112,87,29,53,1667
Damoh,2020,23.84,79.44,37,7,60,92,129,0,34,1166
Datia,2020,25.66,78.46,32,14,130,80,52,44,15,1035
Dewas,2020,22.96,76.05,30,13,257,321,108,38,30,2229
Dhar,2020,22.6,75.3,70,24,231,538,135,61,82,3459
Dindori,2020,22.94,81.08,21,4,35,19,38,15,32,552
