district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Gumla,2020,23.04,84.54,115,24,120,103,26,0,91,1753
Hazaribagh,2020,23.99,85.36,89,28,277,281,104,193,121,3257
East Singhbum,2020,22.8,86.2,100,25,446,329,74,354,104,3929
Jamtara,2020,23.96,86.8,26,9,64,79,22,16,13,694
Khunti,2020,23.07,85.28,73,13,56,52,19,0,33,907
Koderma,2020,24.46,85.6,32,8,43,58,21,24,13,628
Latehar,2020,23.74,84.5,55,5,64,35,26,63,48,972
Lohardaga,2020,23.43,84.69,28,13,31,53,48,40,37,822
Pakur,2020,24.63,87.84,27,7,79,58,12,28,39,782
Palamu,2020,24.03,84.07,106,44,345,141,54,78,56,2417
Ramgarh,2020,23.63,85.51,26,14,111,104,52,21,33,1083
Ranchi,2020,23.34,85.31,149,221,940,967,358,304,157,8877
Sahebganj,2020,25.24,87.64,60,21,139,95,46,136,72,1717
Saraikela Kharsawan,2020,22.71,85.94,39,14,168,90,59,68,23,1285
Simdega,2020,22.62,84.51,54,6,27,17,6,12,21,546
Bokaro,2021,23.78,85.98,57,13,352,364,113,144,110,3310
West Singhbhum,2021,22.63,85.49,109,18,88,53,29,20,80,1479
Chatra,2021,24.2,84.87,46,27,86,99,32,39,28,1121
Deoghar,2021,24.48,86.69,70,35,263,279,89,59,51,2493
Dhanbad,2021,23.8,86.45,74,48,727,785,166,12,115,5468
Dumka,2021,24.27,87.25,57,18,86,223,86,20,33,1661
Garhwa,2021,24.16,83.81,102,19,161,57,70,70,52,1689
Giridih,2021,24.19,86.31,74,23,189,179,65,93,61,2063
Godda,2021,24.83,87.21,56,9,73,176,74,90,81,1797
Gumla,2021,23.04,84.54,120,9,83,81,23,2,65,1443
Hazaribagh,2021,23.99,85.36,85,30,248,279,139,224,106,3273
East Singhbum,2021,22.8,86.2,91,143,494,412,97,375,93,4757
Jamtara,2021,23.96,86.8,28,7,37,44,22,11,21,567
Khunti,2021,23.07,85.28,61,11,60,64,13,0,21,805
Koderma,2021,24.46,85.6,25,3,76,76,15,37,11,691
Latehar,2021,23.74,84.5,42,10,52,45,37,49,34,868
Lohardaga,2021,23.43,84.69,22,5,53,51,29,30,30,686
Pakur,2021,24.63,87.84,36,2,51,50,10,24,55,793
Palamu,2021,24.03,84.07,87,43,165,132,89,66,49,1977
Ramgarh,2021,23.63,85.51,28,17,101,96,32,82,25,1083
Ranchi,2021,23.34,85.31,163,167,768,1198,415,133,206,9154
Sahebganj,2021,25.24,87.64,48,10,87,72,27,69,46,1119
Saraikela Kharsawan,2021,22.71,85.94,54,19,193,132,66,80,21,1591
Simdega,2021,22.62,84.51,38,7,40,24,12,12,31,585
Bokaro,2022,23.78,85.98,52,19,364,481,152,0,60,3263
West Singhbhum,2022,22.63,85.49,108,22,116,83,38,11,40,1445
Chatra,2022,24.2,84.87,53,24,72,123,62,50,25,1285
Deoghar,2022,24.48,86.69,86,30,246,281,92,34,55,2504
Dhanbad,2022,23.8,86.45,82,35,896,769,224,5,77,5716
Dumka,2022,24.27,87.25,70,21,84,171,61,38,34,1544
Garhwa,2022,24.16,83.81,87,14,123,74,53,82,36,1462
Giridih,2022,24.19,86.31,69,20,209,156,61,138,99,2265
Godda,2022,24.83,87.21,42,12,100,191,40,82,48,1555
Gumla,2022,23.04,84.54,86,13,75,114,24,0,106,1576
Hazaribagh,2022,23.99,85.36,84,32,269,414,141,188,61,3432
East Singhbum,2022,22.8,86.2,85,173,510,465,137,399,77,5126
Jamtara,2022,23.96,86.8,26,5,44,71,36,25,12,669
Khunti,2022,23.07,85.28,67,12,39,52,26,0,26,825
Koderma,2022,24.46,85.6,22,5,73,117,21,2,46,924
Latehar,2022,23.74,84.5,50,6,42,73,28,47,36,935
Lohardaga,2022,23.43,84.69,28,9,49,74,17,43,32,793
Pakur,2022,24.63,87.84,28,4,70,49,20,34,50,821
Palamu,2022,24.03,84.07,86,40,119,205,101,76,59,2193
Ramgarh,2022,23.63,85.51,27,11,103,119,32,65,20,1068
Ranchi,2022,23.34,85.31,154,157,804,1573,419,221,190,10374
Sahebganj,2022,25.24,87.64,47,19,72,72,35,83,47,1177
Saraikela Kharsawan,2022,22.71,85.94,61,12,102,71,85,88,15,1276
Simdega,2022,22.62,84.51,50,7,37,34,20,22,47,793
