district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Chandrapur,2019,19.95,79.3,33,35,486,278,164,84,41,2976
Dhule,2019,20.9,74.77,27,121,309,353,168,116,12,3092
Gadchiroli,2019,20.18,80.0,39,6,81,57,82,26,17,935
Gondia,2019,21.45,80.2,37,29,218,125,146,39,26,1758
Hingoli,2019,19.72,77.15,26,23,226,92,73,1,20,1271
Jalgaon,2019,21.0,75.57,61,153,667,582,322,141,37,5430
Jalna,2019,19.83,75.88,38,92,637,345,234,126,39,4016
Kolhapur,2019,16.7,74.23,49,152,491,524,325,204,49,5035
Latur,2019,18.4,76.57,58,94,283,333,177,74,37,3095
Mumbai,2019,19.08,72.88,176,2612,37477,2691,1759,3974,395,109555
Nagpur,2019,21.15,79.08,139,255,4816,1725,829,401,107,20346
Nanded,2019,19.15,77.3,55,117,504,394,210,100,47,3998
Nandurbar,2019,21.87,74.23,29,18,177,157,82,25,22,1448
Nashik,2019,20.0,73.78,71,304,961,1172,526,173,69,9278
Mumbai Suburban,2019,19.05,72.83,53,242,822,802,305,573,70,7694
Dharashiv,2019,18.18,76.03,41,37,366,218,169,76,24,2518
Palghar,2019,19.68,72.77,72,287,722,634,523,453,105,7854
Parbhani,2019,19.27,76.77,31,47,366,230,168,19,28,2447
Pune,2019,18.52,73.86,246,838,5690,4305,1148,1110,307,36076
Raigad,2019,18.65,72.88,21,39,351,138,167,155,18,2278
Ratnagiri,2019,16.98,73.3,14,25,285,71,132,80,11,1564
Sangli,2019,16.85,74.6,59,128,917,546,387,116,40,5872
Satara,2019,17.68,74.0,56,157,690,528,340,169,49,5475
Sindhudurg,2019,16.0,73.47,8,7,193,33,54,18,7,786
Solapur,2019,17.68,75.92,82,145,1484,1023,544,341,82,9751
Thane,2019,19.22,72.98,123,712,1716,1862,1025,748,189,17997
Wardha,2019,20.73,78.6,41,34,446,166,163,34,14,2358
Washim,2019,20.1,77.13,31,32,180,157,71,37,24,1521
Yavatmal,2019,20.38,78.13,58,46,644,278,143,51,67,3462
Ahmednagar,2020,19.08,74.73,89,249,1171,957,483,218,92,8999
Akola,2020,20.7,77.0,41,27,608,176,107,72,28,2662
Amravati,2020,20.93,77.75,88,94,1160,537,185,157,94,6086
Chhatrapati Sambhajinagar,2020,19.88,75.32,60,164,2381,928,234,120,79,9839
Beed,2020,18.98,75.75,53,52,370,316,189,60,50,3098
Bhandara,2020,21.17,79.65,19,14,418,101,99,35,15,1732
Buldhana,2020,20.53,76.18,48,73,618,304,227,68,34,3667
Chandrapur,2020,19.95,79.3,54,28,463,250,169,76,45,2942
Dhule,2020,20.9,74.77,38,56,231,298,119,76,14,2349
Gadchiroli,2020,20.18,80.0,27,5,124,69,73,28,17,970
Gondia,2020,21.45,80.2,33,8,220,86,75,16,18,1242
Hingoli,2020,19.72,77.15,32,14,235,88,83,16,14,1301
Jalgaon,2020,21.0,75.57,58,145,743,669,317,195,29,5849
Jalna,2020,19.83,75.88,37,79,774,441,259,102,36,4533
Kolhapur,2020,16.7,74.23,46,108,413,467,261,203,51,4333
Latur,2020,18.4,76.57,37,80,271,378,185,64,25,2989
Mumbai,2020,19.08,72.88,151,1287,10915,2801,1477,2134,323,46450
