district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Basti,2018,26.8,82.73,21,10,95,76,78,107,47,1246
Bijnor,2018,29.37,78.14,71,45,279,314,70,0,66,2575
Bulandshahr,2018,28.41,77.85,102,58,463,525,111,37,81,4055
Chandauli,2018,25.28,83.27,14,6,115,166,55,51,25,1214
Chitrakoot,2018,25.2,80.89,21,2,22,45,47,57,28,687
Deoria,2018,26.5,83.78,44,19,55,171,67,105,32,1490
Etah,2018,27.56,78.67,49,37,190,294,86,151,45,2440
Etawah,2018,26.78,79.02,39,39,165,356,69,108,23,2287
Ayodhya,2018,26.79,82.19,33,43,216,193,122,0,65,2039
Fatehpur,2018,25.93,80.81,37,20,90,169,60,44,40,1420
Firozabad,2018,27.15,78.4,78,70,237,461,83,0,51,3031
Lucknow,2018,26.85,80.95,132,200,7779,2909,757,1455,157,31711
Ghaziabad,2018,28.67,77.45,119,112,1368,3325,151,22,117,14836
Ghazipur,2018,25.58,83.58,46,31,95,173,136,8,51,1742
Gonda,2018,27.13,81.97,30,24,140,137,125,242,46,2026
Gorakhpur,2018,26.76,83.37,81,163,419,898,334,97,119,6380
Hamirpur,2018,25.95,80.15,35,8,52,42,29,54,42,842
Hapur,2018,28.73,77.78,46,37,172,338,38,12,41,2079
Hardoi,2018,27.4,80.13,61,39,190,172,86,183,75,2356
Hathras,2018,27.59,78.05,44,28,167,243,73,82,32,1938
Jalaun,2018,26.14,79.35,39,8,84,125,63,0,23,1074
Jaunpur,2018,25.75,82.67,68,50,236,359,179,111,74,3218
Jhansi,2018,25.45,78.57,46,28,126,247,44,0,33,1632
Kannauj,2018,27.05,79.92,37,45,111,80,61,114,36,1418
Kanpur Dehat,2018,26.41,79.79,38,15,93,88,54,62,25,1111
Kanpur Nagar,2018,26.46,80.33,87,70,518,1183,261,681,88,7885
Kasganj,2018,27.81,78.65,43,12,81,150,35,0,34,1150
Kaushambi,2018,25.54,81.38,24,16,67,128,80,115,19,1267
Kheri,2018,27.9,80.77,88,22,203,429,65,201,57,3103
Kushinagar,2018,26.74,83.88,40,13,140,221,63,0,43,1599
Lalitpur,2018,24.69,78.41,16,3,97,61,27,0,38,740
Mahrajganj,2018,27.18,83.56,22,4,23,39,23,68,3,509
Mahoba,2018,25.29,79.87,24,11,36,45,51,41,36,786
Mainpuri,2018,27.23,79.02,72,43,107,264,50,0,34,1858
Mathura,2018,27.5,77.67,93,130,552,903,242,0,88,5964
Mau,2018,25.94,83.56,24,8,52,125,59,235,11,1333
Meerut,2018,28.99,77.7,139,106,988,1785,165,0,111,9500
Mirzapur,2018,25.15,82.57,37,3,22,39,18,53,34,688
Moradabad,2018,28.84,78.78,56,53,294,462,89,0,98,3223
Muzaffarnagar,2018,29.47,77.7,72,62,264,320,50,57,61,2665
Pilibhit,2018,28.63,79.8,38,25,115,106,69,126,48,1537
Pratapgarh,2018,25.9,81.98,56,65,113,433,136,181,54,3105
Rae Bareli,2018,26.23,81.24,47,36,165,174,104,139,62,2131
Rampur,2018,28.81,79.03,39,25,168,192,89,0,52,1734
Saharanpur,2018,29.97,77.55,55,52,220,315,76,209,46,2744
Sambhal,2018,28.59,78.58,57,30,176,171,52,92,50,1860
Sant Kabir Nagar,2018,26.79,83.03,15,11,82,62,25,97,37,923
Shahjahanpur,2018,27.88,79.91,59,26,78,72,50,0,42,1131
Shamli,2018,29.45,77.31,33,23,103,158,47,0,44,1298
Shrawasti,2018,27.44,82.06,13,1,31,25,28,16,21,427
Siddharthnagar,2018,27.3,83.05,18,4,39,66,41,55,37,800
Sitapur,2018,27.56,80.68,112,87,335,288,209,186,190,4391
Sonbhadra,2018,24.69,83.07,36,9,77,71,39,91,54,1152
Bhadohi,2018,25.39,82.57,19,5,85,81,48,40,14,822
Sultanpur,2018,26.26,82.07,55,47,170,218,102,88,44,2159
Unnao,2018,26.55,80.49,83,52,222,172,118,0,76,2317
Varanasi,2018,25.32,83.01,47,42,379,727,195,529,86,5415
Farrukhabad,2018,27.39,79.57,50,45,102,171,79,108,18,1690
Gautam Buddha Nagar,2018,28.53,77.39,84,130,1346,2353,107,24,63,11375
Agra,2019,27.18,78.01,123,79,713,1815,384,313,87,10015
Aligarh,2019,27.88,78.08,111,92,410,608,144,0,59,4294
Prayagraj,2019,25.44,81.84,131,123,562,1568,550,584,119,10388
Ambedkar Nagar,2019,26.45,82.54,27,16,98,88,67,77,27,1149
Amethi,2019,26.15,81.82,41,26,142,119,110,54,24,1508
Amroha,2019,28.9,78.47,37,15,151,110,19,98,24,1250
Auraiya,2019,26.47,79.51,45,25,58,135,66,43,39,1325
Azamgarh,2019,26.07,83.19,55,35,141,282,143,207,23,2501
Budaun,2019,28.04,79.12,51,22,119,134,32,72,19,1318
Baghpat,2019,28.94,77.22,62,39,158,205,32,0,26,1623
Bahraich,2019,27.57,81.6,53,18,246,208,148,48,31,2148
Ballia,2019,25.75,84.15,17,9,73,162,69,118,13,1261
Balrampur,2019,27.43,82.18,19,5,34,60,25,38,5,539
Banda,2019,25.48,80.33,44,19,69,58,42,48,35,1005
Bara Banki,2019,26.93,81.19,50,14,175,153,100,104,32,1783
Bareilly,2019,28.36,79.42,88,51,337,700,175,424,77,5176
Basti,2019,26.8,82.73,22,10,88,87,70,62,56,1201
Bijnor,2019,29.37,78.14,61,29,239,210,62,0,56,1995
Bulandshahr,2019,28.41,77.85,109,52,427,491,144,61,83,4049
Chandauli,2019,25.28,83.27,14,5,70,124,51,76,23,1022
Chitrakoot,2019,25.2,80.89,21,3,50,29,31,30,26,587
Deoria,2019,26.5,83.78,47,16,53,187,69,101,9,1420
Etah,2019,27.56,78.67,40,34,197,191,60,112,25,1832
Etawah,2019,26.78,79.02,39,16,113,267,25,26,9,1458
Ayodhya,2019,26.79,82.19,32,14,181,189,105,0,19,1555
Fatehpur,2019,25.93,80.81,35,8,119,130,89,37,35,1351
Firozabad,2019,27.15,78.4,70,40,211,420,96,0,24,2600
Lucknow,2019,26.85,80.95,118,123,6069,2088,635,1963,101,25820
Ghaziabad,2019,28.67,77.45,97,90,856,3267,195,117,89,13622
Ghazipur,2019,25.58,83.58,30,41,138,207,123,0,24,1700
Gonda,2019,27.13,81.97,25,6,74,107,70,122,24,1192
Gorakhpur,2019,26.76,83.37,102,61,313,783,263,0,75,4893
Hamirpur,2019,25.95,80.15,21,5,54,29,22,39,24,584
Hapur,2019,28.73,77.78,43,26,149,332,46,108,37,2152
Hardoi,2019,27.4,80.13,63,22,152,129,92,122,67,1949
Hathras,2019,27.59,78.05,40,27,147,199,47,40,39,1615
Jalaun,2019,26.14,79.35,35,8,93,117,60,79,9,1127
Jaunpur,2019,25.75,82.67,61,35,301,380,164,184,72,3407
Jhansi,2019,25.45,78.57,37,10,103,280,43,0,38,1590
Kannauj,2019,27.05,79.92,27,16,92,52,55,0,17,789
Kanpur Dehat,2019,26.41,79.79,32,5,113,77,68,0,10,891
Kanpur Nagar,2019,26.46,80.33,80,29,443,937,253,358,53,5953
Kasganj,2019,27.81,78.65,42,14,88,173,40,0,38,1271
Kaushambi,2019,25.54,81.38,35,14,82,96,79,53,4,1046
Kheri,2019,27.9,80.77,77,18,165,357,109,61,66,2637
Kushinagar,2019,26.74,83.88,31,6,65,241,81,0,10,1325
Lalitpur,2019,24.69,78.41,16,1,46,39,26,0,7,406
Mahrajganj,2019,27.18,83.56,29,10,65,136,37,62,13,1023
Mahoba,2019,25.29,79.87,14,10,30,33,42,13,7,456
Mainpuri,2019,27.23,79.02,58,31,105,268,70,0,15,1713
Mathura,2019,27.5,77.67,84,75,467,885,206,0,66,5257
